first_name,last_name,department,job_title,email,phone
Michael,Scott,Education,Regional Manager,mscott@dundermifflin.com,+15555551001
Dwight,Schrute,Sales,Assistant to the Regional Manager,dschrute@dundermifflin.com,+15555551002
Jim,Halpert,Sales,Sales Representative,jhalpert@dundermifflin.com,+15555551003
Pam,Beesly,Reception,Receptionist,pbeesly@dundermifflin.com,+15555551004
Ryan,Howard,Temps,Temp,rhoward@dundermifflin.com,+15555551005
Andy,Bernard,Sales,Sales Representative,abernard@dundermifflin.com,+15555551006
Robert,California,Corporate,CEO,rcalifornia@dundermifflin.com,+15555551007
Stanley,Hudson,Sales,Sales Representative,shudson@dundermifflin.com,+15555551008
Kevin,Malone,Accounting,Accountant,kmalone@dundermifflin.com,+15555551009
Angela,Martin,Accounting,Accountant,amartin@dundermifflin.com,+15555551010
Oscar,Martinez,Accounting,Accountant,omartinez@dundermifflin.com,+15555551011
Phyllis,Vance,Sales,Sales Representative,pvance@dundermifflin.com,+15555551012
Toby,Flenderson,HR,HR Representative,tflenderson@dundermifflin.com,+15555551013
Kelly,Kapoor,Customer Service,Customer Service Representative,kkapoor@dundermifflin.com,+15555551014
Darryl,Philbin,Warehouse,Warehouse Foreman,dphilbin@dundermifflin.com,+15555551015
Creed,Bratton,Quality Assurance,Quality Assurance,cbratton@dundermifflin.com,+15555551016
Meredith,Palmer,Supplier Relations,Supplier Relations,mpalmer@dundermifflin.com,+15555551017
Erin,Hannon,Reception,Receptionist,ehannon@dundermifflin.com,+15555551018
Gabe,Lewis,Corporate,Coordinating Director of Emerging Regions,glewis@dundermifflin.com,+15555551019
Jan,Levinson,Corporate,Vice President of Northeast Sales,jlevinson@dundermifflin.com,+15555551020
David,Wallace,Corporate,CFO,dwallace@dundermifflin.com,+15555551021
Holly,Flax,HR,HR Representative,hflax@dundermifflin.com,+15555551022
Charles,Miner,Corporate,Vice President of the Northeast Region,cminer@dundermifflin.com,+15555551023
Jo,Bennett,Corporate,CEO of Sabre,jbennett@dundermifflin.com,+15555551024
Clark,Green,Sales,Sales Representative,cgreen@dundermifflin.com,+15555551025
Pete,Miller,Customer Service,Customer Service Representative,pmiller@dundermifflin.com,+15555551026
